,식당명,도로명주소,지번주소,식당위도,식당경도,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
2253,교동 떡갈비,전라북도 전주시 완산구 은행로 52,전라북도 전주시 완산구 풍남동3가 73-2,35.8153483,127.1522631,,,,,,,,,,,,,,,,,,,,,,,
2270,두리반,전라북도 전주시 완산구 최명희길 25,전라북도 전주시 완산구 풍남동3가 74-5 교동아트스튜디오,35.8158967,127.1517534,,,,,,,,,,,,,,,,,,,,,,,
2351,진짜문어꼬치,전라북도 전주시 완산구 태조로 22,전라북도 전주시 완산구 풍남동3가 65-1 문자향,35.8148475,127.15225420000002,,,,,,,,,,,,,,,,,,,,,,,
125,문꼬치 은행로점,전라북도 전주시 완산구 은행로 81,전라북도 전주시 완산구 교동 125-1,35.812668,127.15301640000001,,,,,,,,,,,,,,,,,,,,,,,
368,까다로운 입맛,전라북도 전주시 완산구 은행로 72,전라북도 전주시 완산구 교동 81-2,35.8136266,127.1526433,,,,,,,,,,,,,,,,,,,,,,,
434,츄남 은행로,전라북도 전주시 완산구 은행로 74,전라북도 전주시 완산구 교동 91-2,35.8132749,127.1527531,,,,,,,,,,,,,,,,,,,,,,,
472,쥬스식스플러스,전라북도 전주시 완산구 향교길 111,전라북도 전주시 완산구 교동 37-4,35.8120781,127.15568970000001,,,,,,,,,,,,,,,,,,,,,,,
477,교동석쇠불고기,전라북도 전주시 완산구 은행로 70,전라북도 전주시 완산구 교동 80-5,35.813775,127.152542,,,,,,,,,,,,,,,,,,,,,,,
497,우전재 한식,전라북도 전주시 완산구 향교길 85 우전재 한식,전라북도 전주시 완산구 교동 132-2,35.8120607,127.15414009999998,,,,,,,,,,,,,,,,,,,,,,,
742,초가카페,전라북도 전주시 완산구 오목대길 25,전라북도 전주시 완산구 교동 47,35.813120700000006,127.1549057,,,,,,,,,,,,,,,,,,,,,,,
764,풍경,전라북도 전주시 완산구 태조로 45 2층,전라북도 전주시 완산구 교동 278-1,35.813959999999994,127.1500288,,,,,,,,,,,,,,,,,,,,,,,
769,착한커피,전라북도 전주시 완산구 태조로 29,전라북도 전주시 완산구 교동 71-4,35.814366799999995,127.151676,,,,,,,,,,,,,,,,,,,,,,,
828,까다로운 입맛,전라북도 전주시 완산구 은행로 72,전라북도 전주시 완산구 교동 81-2,35.813775,127.152542,,,,,,,,,,,,,,,,,,,,,,,
842,문강정,전라북도 전주시 완산구 경기전길 121,전라북도 전주시 완산구 교동 79-4,35.8139696,127.1512717,,,,,,,,,,,,,,,,,,,,,,,
894,한옥김밥,전라북도 전주시 완산구 경기전길 127,전라북도 전주시 완산구 교동 77-1,35.813734100000005,127.1513332,,,,,,,,,,,,,,,,,,,,,,,
926,교동육전,전라북도 전주시 완산구 태조로 25,전라북도 전주시 완산구 교동 70-6,35.8144184,127.15201950000001,,,,,,,,,,,,,,,,,,,,,,,
1058,길거리야본점,전라북도 전주시 완산구 경기전길 124,전라북도 전주시 완산구 교동 267-2,35.8139495,127.15109,,,,,,,,,,,,,,,,,,,,,,,
1100,서예카페 서화각,전라북도 전주시 완산구 태조로 25-6,전라북도 전주시 완산구 교동 70-9,35.8142485,127.15187579999998,,,,,,,,,,,,,,,,,,,,,,,
1128,다우랑,전라북도 전주시 완산구 태조로 33,전라북도 전주시 완산구 교동 269-2,35.814238399999994,127.1510449,,,,,,,,,,,,,,,,,,,,,,,
1131,수제전주초코파이 한옥마을본점,전라북도 전주시 완산구 태조로 35,전라북도 전주시 완산구 교동 271-5,35.8141204,127.1507652,,,,,,,,,,,,,,,,,,,,,,,
1179,교동고로케,전라북도 전주시 완산구 경기전길 126,전라북도 전주시 완산구 교동 266-3,35.8144429,127.15198490000002,,,,,,,,,,,,,,,,,,,,,,,
1189,꼬지따뽕,전라북도 전주시 완산구 자만동1길 1-8,전라북도 전주시 완산구 교동 50-86,35.8141174,127.1573375,,,,,,,,,,,,,,,,,,,,,,,
1202,한스브레드 한옥마을직영점,전라북도 전주시 완산구 태조로 37,전라북도 전주시 완산구 교동 274-1,35.814106200000005,127.15064009999999,,,,,,,,,,,,,,,,,,,,,,,
1265,소복 전주한옥마을점,전라북도 전주시 완산구 은행로 72-1,전라북도 전주시 완산구 교동 81-5,35.8135229,127.15264850000001,,,,,,,,,,,,,,,,,,,,,,,
1272,문꼬치,전라북도 전주시 완산구 태조로 37,전라북도 전주시 완산구 교동 274-1,35.8140985,127.1505939,,,,,,,,,,,,,,,,,,,,,,,
1396,카페달곰,전라북도 전주시 완산구 은행로 71,전라북도 전주시 완산구 교동 62-5,35.8136989,127.15289879999999,,,,,,,,,,,,,,,,,,,,,,,
1423,안아줘,전라북도 전주시 완산구 경기전길 131,전라북도 전주시 완산구 교동 77-2,35.8135327,127.1513794,,,,,,,,,,,,,,,,,,,,,,,
1488,남양집,전라북도 전주시 완산구 전주천동로 10 남양집,전라북도 전주시 완산구 교동 3-18,35.81191389999999,127.15967659999998,,,,,,,,,,,,,,,,,,,,,,,
1489,한벽집,전라북도 전주시 완산구 전주천동로 4,전라북도 전주시 완산구 교동 2-9,35.811946,127.1599758,,,,,,,,,,,,,,,,,,,,,,,
1490,화순집,전라북도 전주시 완산구 기린대로 1-1,전라북도 전주시 완산구 교동 2-8,35.811939,127.15988429999999,,,,,,,,,,,,,,,,,,,,,,,
1491,전주수제초코파이,전라북도 전주시 완산구 경기전길 127,전라북도 전주시 완산구 교동 77-1,35.8137268,127.15132790000001,,,,,,,,,,,,,,,,,,,,,,,
1492,교동다원,전라북도 전주시 완산구 은행로 65-5 교동다원,전라북도 전주시 완산구 교동 64-7,35.814211,127.1529945,,,,,,,,,,,,,,,,,,,,,,,
1493,풍년,전라북도 전주시 완산구 오목대길 60,전라북도 전주시 완산구 교동 60-1,35.8130398,127.15300309999999,,,,,,,,,,,,,,,,,,,,,,,
1582,빈스인가배몽,전라북도 전주시 완산구 은행로 68-10,전라북도 전주시 완산구 교동 80-11,35.8139314,127.15212849999999,,,,,,,,,,,,,,,,,,,,,,,
1603,카페 일삼이이,전라북도 전주시 완산구 향교길 85,전라북도 전주시 완산구 교동 132-2,35.8120607,127.15413980000001,,,,,,,,,,,,,,,,,,,,,,,
1726,오원집,전라북도 전주시 완산구 서신로 26,전라북도 전주시 완산구 교동 68-1,35.827687,127.1160821,,,,,,,,,,,,,,,,,,,,,,,
1728,셀라,전라북도 전주시 완산구 서곡1길 14-16,전라북도 전주시 완산구 교동 243-1,35.8354005,127.10056920000001,,,,,,,,,,,,,,,,,,,,,,,
2077,예담찻집,전라북도 전주시 완산구 태조로 43 ,전라북도 전주시 완산구 교동 277,35.8139945,127.15017639999999,,,,,,,,,,,,,,,,,,,,,,,
2254,교동사랑,전라북도 전주시 완산구 향교길 42,전라북도 전주시 완산구 교동 216-3,35.8116672,127.15178940000001,,,,,,,,,,,,,,,,,,,,,,,
2255,퐁당퐁당 물고기다방,전라북도 전주시 완산구 향교길 27,전라북도 전주시 완산구 교동  243-1,35.8117626,127.1510695,,,,,,,,,,,,,,,,,,,,,,,
